name,city,address,notes,lat,lon,rating,rating_count,price_level,types,phone,website,google_maps_url,place_id,last_update,rating_online_gf,rating_online_gf_count
La Pappa Celiaca 2.0,Viterbo,"Via Treviso, 6, 01100 Viterbo VT, Italia","[voto 5] - Mi potresti indicare quale sono i dolci senza glutine? - tutti. - TUTTI?!!!! é un miracolo | [voto 4] Pasta molto friabile e buona pizza, la location lascia un po' a desiderare, andrebbe modernizzato: ma e' un vero good food per gli intolleranti al glutine quindi merita 4 stelle | [voto 4] Ottimo punto di ristoro per il senza glutine","42,4208689","12,1109657","4,5",133,2,establishment|food|point_of_interest|restaurant,334 795 5936,http://www.lapappaceliaca20.it/,https://maps.google.com/?cid=8824875757247844591,ChIJy8xsl-gtLxMR79C2ub5BeHo,10/12/2025 23.09.29,"4,33",3
Ristorante Gur.me,Viterbo,"Via Valle Piatta, 5, 01100 Viterbo VT, Italia","[voto 5] Bel locale e servizio cortese e professionale. Molto buona sia la pizza normale che quella senza glutine (ciociara e buono brutto e cattivo). Anche il tagliere aperitivo non era affatto male. Si vede che c'è un'ottima ricerca di materia prima selezionata e di livello. In una foto potete vedere un piccolo ""sgabellino"" che serve per poggiare le borse delle signore (molto carina l'idea e il pensiero)… | [voto 5] Ambiente confortevole con illuminazione non troppo è alta. Toni grigio scuro, senza tovaglie, belli i bicchieri. Servizio gentile e chiaro nelle informazioni. Per clienti celiaci è perfetto, il 90% del menù è eseguibile senza glutine . Piatti con lavorazioni particolari e ricercate. A noi è piaciuto. Bravi","42,4179455","12,1041447","4,4",415,2,establishment|food|point_of_interest|restaurant,351 744 9598,https://www.ristogur.me/,https://maps.google.com/?cid=315914069554509475,ChIJl12A6OIsLxMRozZYJyxaYgQ,10/12/2025 23.09.29,"5,00",2
Pinseria Loop,Viterbo,"Via Alessandro Polidori, 39/G, 01100 Viterbo VT, Italia","[voto 5] Su consiglio di un'amico sono venuto qui una sera. Locale molto gradevole e personale gentile. Disponibili posti a sedere sia all'interno che all'esterno. Si fa l'ordine e poi si va a ritirare al bancone, già tagliata in pezzi, pronti da mangiare. La scelta è ampia, a partire dall'impasto (classico, multicereali, senza glutine). Ho voluto provare la ""Viterbo"" con salsiccia, fiordilatte, patate al … | [voto 4] Ottima pinsa , molto saporita e ben condita ,gli ingredienti sono di qualità . Fanno anche senza glutine e lattosio . Hanno gusti con le eccellenze del territorio viterbese.","42,4263887","12,1015814","4,8",71,,establishment|food|meal_delivery|point_of_interest|restaurant,0761 411631,https://www.pinserialoop.it/,https://maps.google.com/?cid=13689666001092730696,ChIJ2_qMgIwtLxMRSN_fcLJ2-70,10/12/2025 23.09.29,"4,50",2
Zero Viterbo,Viterbo,"P.za Giuseppe Verdi, 2, 01100 Viterbo VT, Italia","[voto 5] Posti così ce ne vorrebbero molti di più! Trovare un fast food che proponga piatti naturali, sani e anche senza glutine è davvero raro, ma questo bistrot è una bellissima eccezione. Tutto è curato nei dettagli, dagli ingredienti genuini al servizio cordiale. Si percepisce passione e attenzione per chi cerca un'alternativa più consapevole senza rinunciare al gusto. Super consigliato!","42,4207713","12,1077474","4,8",15,,establishment|food|point_of_interest|restaurant,371 538 0751,http://www.zeroitaly.it/,https://maps.google.com/?cid=3387478081223139681,ChIJDfLIzjUtLxMRYSG6A169Ai8,10/12/2025 23.09.29,"5,00",1
Il Cantuccio di Maria,Viterbo,"Via delle Fabbriche, 20, 01100 Viterbo VT, Italia",[voto 4] Sono stato a pranzo in questo ristorante con la mia compagna una bellissima scoperta! Degno di nota l uovo su fonduta di parmigiano con tartufo fresco ! Poi abbiamo preso una tris di tartarre quella con crema di nocciola molto particolare! Abbiamo proseguito con una fettuccina senza glutine al tartufo fresco niente male! È una tagliata tartufo e patanegra che però non ci ha soddisfatto a pieno !!!…,"42,4143872","12,107287","4,8",210,,establishment|food|point_of_interest|restaurant,347 905 5240,https://linktr.ee/IlCantuccioVT,https://maps.google.com/?cid=14741178101743557624,ChIJ3w-GcFMtLxMR-BsxpWEvk8w,10/12/2025 23.09.29,"4,00",1
Ristorante Pizzeria Checcarello,Viterbo,"Piazza XX Settembre, 25, 01100 Viterbo VT, Italia","[voto 5] Siamo stati a pranzo in questo ristorante situato alle porte di Villa Lante. La location è particolare, crea un’atmosfera piacevole e accogliente. Abbiamo apprezzato moltissimo l’attenzione al senza glutine: il menù offre diverse opzioni, dalla pasta agli antipasti fino ai dolci, tutto gustoso e ben presentato. Il rapporto qualità-prezzo è ottimo Consiglio vivamente di provarlo.","42,4282334","12,1546192","4,5",183,2,establishment|food|point_of_interest|restaurant,349 754 2090,https://ristorantepizzeriacheccarello.it/,https://maps.google.com/?cid=14008057193436383796,ChIJoWEgiZktLxMRNIohsMydZsI,10/12/2025 23.09.29,"5,00",1
Ristorante Trattoria Da Oliviera,Viterbo,"km.76, Str. Cassia Sud, 113/e, 01100 Viterbo VT, Italia","[voto 5] Ambiente senza troppe pretese, compensato a pieni voti dalla bontà dei piatti cucinati e la gentilezza del cameriere. Ho mangiato un'acquacotta che mi ha ricordato proprio i sapori di casa, un vitello tonnato delizioso e una cheesecake. Prezzi veramente onesti considerando i tempi che corrono. Disponibilità anche di piatti senza glutine. Consigliatissimo e ritornerò senz'altro.","42,3817617","12,0754492","4,6",774,2,establishment|food|point_of_interest|restaurant,0761 263001,https://www.ristorantedaoliviera.it/,https://maps.google.com/?cid=14642173097825620422,ChIJKbmEy0XNKBMRxlGt29pyM8s,10/12/2025 23.09.29,"5,00",1
Leccabaffo - Riello,Viterbo,"Tangenziale Ovest, 42, 01100 Viterbo VT, Italia","[voto 5] Prima esperienza più che positiva!! Frittura di terra senza glutine strepitosa.. il proprietario, gentilissimo, ci ha offerto un piccolo assaggio di quella di mare che prenderemo la prossima volta perché è buonissima.. i fritti sono tutti senza glutine e i supplì mai mangiati così buoni!!! Il panino che ha preso mio marito, lo sfilaccio XXL limited edition eccezionale!! Anche i panini si possono a… | [voto 5] Ottimi panini con e senza glutine, è raro trovare un posto di questo tipo. Tutti i fritti sono senza glutine compreso il supplì senza panatura che è incredibile. Il proprietario è stato molto gentile. Prezzi onesti","42,423238","12,0930737","4,9",80,,establishment|food|point_of_interest|restaurant,347 320 3217,https://viterboriello.leccabaffo.it/,https://maps.google.com/?cid=5012776824841287488,ChIJwwqEwjQtLxMRQLf5nvb1kEU,10/12/2025 23.09.29,"5,00",2
LOLLA gelato,Viterbo,"Via Carlo Cattaneo, 46/O, 01100 Viterbo VT, Italia",[voto 5] Gelateria aperta anche di sera. Gelato BUONISSIMO . Gusti particolari davvero. Io ho assaggiato bruscolino (GUSTO VINCITORE due coni che segnalano le gelaterie migliori d'Italia) e mascarpone con biscotti. Ma ci sono anche ottimi classici. Ampia scelta di senza latte o glutine. Locale pulito e ordinato. Posti a sedere limitati sia dentro che fuori. Location un po' distante dai percorsi turistici. …,"42,4125282","12,1186196","4,8",123,,establishment|food|point_of_interest|restaurant|store,338 612 2106,https://www.lollagelato.it/,https://maps.google.com/?cid=15414382947053862437,ChIJX-nkQmQtLxMRJf77Fp_j6tU,10/12/2025 23.09.29,"5,00",1
Antico Borgo Trattoria e Pizzeria,Virgilio,"Via Cisa, 214, 46030 Virgilio MN, Italia","[voto 3] Locale molto bello e spazioso,le pizze tirate sono veramente buone.per quando riguarda la possibilità di mangiare per chi ha problemi di intolleranze o per celiaci si riduce alla sola pizza di per sé non male ma di aspetto un po' triste e piuttosto piccola... peccato che un locale così bello non dia la possibilità anche a chi ha problemi di celiachia di mangiare un primo senza glutine o un fritto …","45,107132","10,7791243","4,2",981,1,establishment|food|point_of_interest|restaurant,0376 281340,,https://maps.google.com/?cid=14574795610254648578,ChIJdRJD_sDUgUcRAqUmD2MTRMo,13/12/2025 11.20.08,"3,00",1
Pomodoro e Basilico,Vimercate,"Via Burago, 28, 20871 Vimercate MB, Italia","[voto 2] Abbiamo cenato in un sabato sera caotico. Apprezzato i ragazzi in sala veloci e cordiali, ma ahimè è arrivato prima il secondo che il primo ordinato, la tagliata ai porcini aveva una salsa con panna e pomodoro non specificati nel menù inoltre arrivata fredda. Mi spiace perché il posto merita in quanto ha pizze senza glutine. | [voto 2] Siamo venute di giovedì per una cena in 7 persone. Le bevande sono state servite subito, mentre per le pizze abbiamo aspettato quasi 1h nonostante fossimo state le prime ad arrivare e il locale fosse quasi vuoto. Le pizze normali e senza glutine sono davvero da rivedere. Poco digeribili, pesanti con ingredienti poco gustosi. Il servizio poco accogliente e lento. Purtroppo non ci tornerei. Per una …","45,6109072","9,3783261","3,6",1881,2,establishment|food|point_of_interest|restaurant,392 409 2312,https://www.pomodoroebasilico.com/,https://maps.google.com/?cid=5082654339556355503,ChIJgcUD0SOxhkcRr61aWTE3iUY,25/11/2025 0.15.38,"2,00",2
Hotel Villa Montanarini,Villarotta,"Via Virgilio Mandelli, 29, 42045 Villarotta RE, Italia","[voto 4] Questa mia recensione è relativo ad un matrimonio che ho partecipato poco tempo fa. Mentre si percorre il viale d'ingresso e avvicinandosi alla villa si ha come l'impressione di tornare indietro nel tempo. Giardino curato con parcheggio, molto bello anche l'interno della villa, a disposizione degl'ospiti dell'hotel vi sono delle colonnine per la ricarica auto elettriche. Organizzazione dell'evento…","44,9233626","10,7501595","4,5",216,,bar|establishment|food|lodging|point_of_interest|restaurant,0522 820001,http://villamontanarini.it/,https://maps.google.com/?cid=8874544399135170407,ChIJezQJZ78ngEcRZ1_ilRy3KHs,13/12/2025 11.20.08,"4,00",1
Fusco Mare - Ristorante Cruderia,Villaricca,"Corso Italia, 442, 80010 Villaricca NA, Italia","[voto 5] Cari amici, da tempo per hobby mi piace recensire i locali dove mangio bene e pago il giusto. Ma qui è diverso e voglio partire dal personale, molto simpatico e disponibile, il proprietario in persona chiedeva ai clienti se tutto era di nostro gradimento, voglio poi fare i complimenti allo staff della cucina perché, non è da tutti abbinare la buona cucina con la presentazione delle portate, fantas…","40,9156889","14,1632988","4,6",132,,establishment|food|point_of_interest|restaurant,081 213 6885,http://www.fuscomare.it/,https://maps.google.com/?cid=14770568842150923262,ChIJ_9gp16wFOxMR_svbphqa-8w,"45986,01469","5,00",1
Locanda Piramidi di terra,Villar San Costanzo,"Via Ciciu, 43, 12020 Villar San Costanzo CN, Italia","[voto 5] Abbiamo scoperto la Locanda per caso. Siamo entrati per un caffè ma attratti dal profumo abbiamo chiesto se potessimo accomodarci. Io sono celiaca e abbiamo chiesto se ci fosse qualche opzione. Il personale è stato gentilissimo, ha fatto in modo di farci avere piatti sicuri senza glutine facendoci sentire accolti e come a casa. Era tutto delizioso. Super consigliato.","44,4899959","7,383524","4,3",140,,establishment|food|point_of_interest|restaurant,338 201 1455,http://locandapiramididiterra.com/,https://maps.google.com/?cid=1629470637127365114,ChIJ6-1zpRI_zRIR-vHnQekKnRY,09/01/2026 16.27.55,"5,00",1
Gli Archi,Villanova,"Via Consolato Veneziano, 72017 Villanova BR, Italia",[voto 4] Piatti di pesce abbondanti e buonissimi! Ottimo vino rosso primitivo della casa! Tutto molto buono e ambiente sereno! Per i celiaci c'è la possibilità di scegliere qualsiasi primo con la pasta senza glutine! Consiglio! Personale gentile e sorridente!,"40,7852377","17,6007749","4,1",1770,2,establishment|food|point_of_interest|restaurant,0831 308761,https://www.gliarchivillanova.it/,https://maps.google.com/?cid=1107955320461293213,ChIJIVu62dxDRhMRnXYZZ34_YA8,18/12/2025 23.13.18,"4,00",1
GLUTEN FREE La Farina F.lli Abate,Villafranca Tirrena,"SS 113 Settentrionale Sicula, 134, 98049 Villafranca Tirrena ME, Italia","[voto 5] I prodotti senza glutine sono veramente ottimi, il personale è cordiale e disponibile, sono tornata più volte perché mi sono trovata molto bene e consiglio di provare questo posto a tutte le persone celiache e non | [voto 5] Abbiamo provato arancino ,pidone,focaccia esclusivamente senza glutine… tutto eccezionale,buono,qualità top…complimenti ragazzi continuate cosi.lo consiglio a tutti i celiaci. | [voto 5] Un vero paradiso per i celiaci, ma vi assicuro lo è per tutti. Pane senza glutine, pizza senza glutine, focacce, arancini, dolci, mignon, muffin e croissant tutto glutf.. davvero per tutti i gusti. Finalmente una brioche sfogliata degna di nota, un pane leggero, croccante, fragrante, con un odore gradevole, dove c’è totale assenza di retrogusto. Le Specialità Tanta Amore Vi aspetta ❤️","38,2364719","15,4340264","4,9",34,,establishment|food|point_of_interest|restaurant,347 297 9697,https://glutenfree.fratelliabate.it/,https://maps.google.com/?cid=8658731711954383563,ChIJT_GpUwlLFBMRy3JzuJ3-KXg,27/11/2025 1.03.00,"5,00",3
Osteria La Filanda,Villafranca di Verona,"Via Nino Bixio, 370, 37069 Villafranca di Verona VR, Italia","[voto 5] Un bel posticino dall' aria accogliente ed intima. Apprezzabile il menù ricco di portate con ingredienti di stagione (e infatti, lo cambiano ogni mese circa). Una nota di merito per l' attenzione e la cura nei confronti dei clienti celiaci. Abbiamo ricevuto un cestino con dell' ottimo pane senza glutine e crackers e un' offerta abbastanza varia di piatti adatti. Cibo ottimo, prezzi onesti e gentil… | [voto 5] Ristorantino intimo e rustico. Personale gentilissimo. Piatti abbondanti!!! E strepitosi. Pane senza glutine da 10 e lode (bello croccante fuori e una nuvola dentro). Qui ho mangiato dei passatelli senza glutine fuori di testa. Bilanciato e dal gusto deciso il risotto all’Amarone e radicchio di Treviso. Conto onesto","45,3511967","10,8393877","4,3",251,2,establishment|food|point_of_interest|restaurant,045 630 3583,,https://maps.google.com/?cid=11914891788368159348,ChIJnxqQW9PdgUcRdCLnJvQyWqU,25/11/2025 0.15.38,"5,00",2
Kiosko Il Vincanto,Villa Verucchio,"Via Aldo Moro, 105, 47826 Villa Verucchio RN, Italia",[voto 5] Tutto squisito ed è il posto ideale anche per i gluten free!,"44,0042588","12,4305291","4,3",629,2,establishment|food|point_of_interest|restaurant,0541 676717,https://m.facebook.com/kioskoilvincanto/?locale2=it_IT,https://maps.google.com/?cid=5316310275773412333,ChIJkaH1y0mVLBMR7bM7XwdUx0k,25/11/2025 0.38.23,"5,00",1
L’isola del gusto,Viggiù,"Piazza Venti Settembre, 4, 21059 Viggiù VA, Italia","[voto 5] Pizza ottima, per niente unta e soprattutto ben cotta! Condimenti abbondanti e saporiti con materie prime di qualità ( anche per intolleranza lattosio e glutine). Disponibili giornalmente sfiziosità per accontentare i più golosi tra noi ( personalmente i cannoli siciliani e gli arancini sono da assaggiare). Atmosfera familiare, adatta sia ad una breve pausa che ad una piacevole serata in compagnia…","45,8712182","8,9055401","4,8",24,,establishment|food|meal_takeaway|point_of_interest|restaurant,0332 143 0031,https://app.pomoai.it/share/r/lisola-del-gusto-AKQJDL,https://maps.google.com/?cid=11867610675298839492,ChIJTbltcYkrhEcRxCvSKQg5sqQ,25/11/2025 0.29.38,"5,00",1
Hotel Raito Amalfi Coast,Vietri sul Mare,"Via Nuova Raito, 9, 84019 Vietri sul Mare SA, Italia","[voto 5] Sono stata ad un matrimonio il 7 settembre. Tutto perfetto! Dalla location con un panorama mozzafiato, alle prelibatezze preparate dallo chef stellato, fino al servizio professionale ed accogliente. C'è da precisare che sono celiaca ed i miei piatti senza glutine sono stati preparati in modo eccellente.","40,6684622","14,717326","4,5",2376,,establishment|food|lodging|point_of_interest|restaurant|spa,089 763 4111,http://www.hotelraito.it/,https://maps.google.com/?cid=13854113147751543847,ChIJx1ZEXM_BOxMRJ7TMcYGyQ8A,"45986,01469","5,00",1
Il Principe e la Civetta,Vietri sul Mare,"Via Giuseppe Mazzini, 137, 84019 Vietri sul Mare SA, Italia","[voto 5] Io e la mia ragazza lei essendo celiaca siamo stati in questo meraviglioso ristorante, cibo ottimo e pesce di prima qualità e i piatti parlavano, ci hanno accolto i due proprietari. Entrambi molto preparati e per quanto riguarda la mia ragazza si è trovata benissimo d’altronde avevano pane, pasta, dolci, esclusivamente senza glutine. Essendo fatti in un laboratorio vicino Vietri Sul Mare come ci è… | [voto 5] Locale ben curato e spazioso, personale molto cordiale, attento alle esigenze del cliente e disponibile, il paradiso dei celiaci!! Abbiamo mangiato dell’ottima pasta fatta in casa ed un tiramisù divino, insieme all’acqua ci hanno portato due panini senza glutine tiepidi! Ho trovato il conto proporzionato alla quantità e qualità del cibo, torneremo sicuramente! | [voto 5] Io e il mio ragazzo abbiamo trovato per caso questo ristorante durante la nostra breve vacanza a Vietri sul mare. Io, celiaca, ho assaporato pietanze spettacolari, dal primo al dolce; consiglio vivamente questo ristorante. Personale super gentile e disponibile, torneremo sicuramente","40,6710256","14,7294559","4,5",640,2,establishment|food|point_of_interest|restaurant,089 763 2201,http://www.ilprincipeelacivetta.it/,https://maps.google.com/?cid=14761394870027569608,ChIJTaBAmurBOxMRyElE0WwC28w,"45986,01469","5,00",3
Pizzeria Da Cardone,Vico Equense,"Via le Pietre, 13, 80069 Vico Equense NA, Italia",[voto 5] Pizzeria al metro ottima è dir poco! Consigliata da amici abbiamo gustato le bontà di Cardone. Da Pavia a Vico Equense apposta per leccarci i baffi. Complimenti a tutto lo staff! Specialità anche gluten free molto buone. Da riprovare,"40,6570441","14,4339373","4,4",2299,1,establishment|food|point_of_interest|restaurant,081 802 7576,http://www.pizzeriadacardone.it/,https://maps.google.com/?cid=12197625985830733956,ChIJeWYcGlGYOxMRhMiDVDWsRqk,10/12/2025 23.09.29,"5,00",1
i Baretti Mustafà,Vico Equense,"Via Arcoleo, 13, 80069 Vico Equense NA, Italia","[voto 5] La cena al ristorante ai Baretti a Seiano è stata un'esperienza memorabile. Location straordinaria sul mare, con una vista panoramica sul golfo di Napoli. Il personale è estremamente gentile e disponibile, ed è ben informato sulle esigenze di una persona celiaca per il senza glutine, rendendo l'ordinazione facile e senza problemi. È possibile ordinare anche fritture senza glutine e vari primi oltr… | [voto 4] Ottima struttura, in stupenda posizione vista mare Marina di Aequa di Vico Equense, un luogo per me tra i più belli della costiera. Sono stato varie volte per aperitivo con ottimi spritz e cocktails, e ho pranzato di domenica in famiglia, buon menù consultabile su web site con varie portate e piatti anche del giorno, ho gradito molto antipasto di totani e patate con sugo rosso di pomodorini, ed al…","40,6600964","14,4187611","4,1",343,2,bar|establishment|food|point_of_interest|restaurant,081 019 8322,,https://maps.google.com/?cid=15717268164034163490,ChIJB4r2yfuYOxMRIvPPHB_0Hto,10/12/2025 23.09.29,"4,50",2
